GEOUNIT_CODE,QUERY_BASETERM,keyword,GEOUNIT_TYPE,safe_keyword,GT_concept,,,
WK036329,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036330,FALSE,Transvaalbuurt,quarter,Transvaalbuurt,%2Fm%2F0cc6by8,,,
WK036330,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036331,FALSE,Indische Buurt West,quarter,Indische Buurt,%2Fm%2F057l51p,,,
WK036331,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036332,FALSE,Indische Buurt Oost,quarter,Indische Buurt,%2Fm%2F057l51p,,,
WK036332,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036333,FALSE,Oostelijk Havengebied,quarter,,,,,
WK036333,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036335,FALSE,IJburg West,quarter,,,,,
WK036335,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036336,FALSE,Sloterdijk,quarter,Sloterdijk,%2Fm%2F06mzpd,,,
WK036336,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036337,FALSE,Landlust,quarter,Landlust,%2Fm%2F0cc60zg,,,
WK036337,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036338,FALSE,Erasmuspark,quarter,,,,,
WK036338,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036339,FALSE,De Kolenkit,quarter,De Kolenkit,%2Fm%2F05mr05y,,,
WK036339,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036340,FALSE,Geuzenbuurt,quarter,,,,,
WK036340,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036341,FALSE,Van Galenbuurt,quarter,,,,,
WK036341,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036342,FALSE,Hoofdweg e.o.,quarter,,,,,
WK036342,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036343,FALSE,Westindische Buurt,quarter,,,,,
WK036343,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036344,FALSE,Hoofddorppleinbuurt,quarter,Hoofddorppleinbuurt,%2Fm%2F0bxz0g5,,,
WK036344,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036345,FALSE,Schinkelbuurt,quarter,Schinkelbuurt,%2Fm%2F0cc8fck,,,
WK036345,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036346,FALSE,Willemspark,quarter,Willemspark,%2Fm%2F0cc55vs,,,
WK036346,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036347,FALSE,Museumkwartier,quarter,Museumkwartier,%2Fm%2F0cc5xtp,,,
WK036347,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036348,FALSE,Stadionbuurt,quarter,,,,,
WK036348,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036349,FALSE,Apollobuurt,quarter,,,,,
WK036349,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036351,FALSE,IJburg Zuid,quarter,,,,,
WK036351,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036352,FALSE,Scheldebuurt,quarter,,,,,
WK036352,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036353,FALSE,IJselbuurt,quarter,,,,,
WK036353,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036354,FALSE,Rijnbuurt,quarter,,,,,
WK036354,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036355,FALSE,Frankendael,quarter,,,,,
WK036355,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036356,FALSE,Middenmeer,quarter,,,,,
WK036356,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036357,FALSE,Betondorp,quarter,,,,,
WK036357,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036358,FALSE,Omval/Overamstel,quarter,,,,,
WK036358,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036359,FALSE,Prinses Irenebuurt e.o.,quarter,,,,,
WK036359,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036360,FALSE,Volewijck,quarter,,,,,
WK036360,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036361,FALSE,IJplein/Vogelbuurt,quarter,,,,,
WK036361,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036362,FALSE,Tuindorp Nieuwendam,quarter,Tuindorp Nieuwendam,%2Fm%2F0cc6jxl,,,
WK036362,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036363,FALSE,Tuindorp Buiksloot,quarter,,,,,
WK036363,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036364,FALSE,Nieuwendammerdijk/Buiksloterdijk,quarter,,,,,
WK036364,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036365,FALSE,Tuindorp Oostzaan,quarter,Tuindorp Oostzaan,%2Fm%2F0cc78l_,,,
WK036365,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036366,FALSE,Oostzanerwerf,quarter,Oostzanerwerf,%2Fm%2F0cc9nj9,,,
WK036366,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036367,FALSE,Kadoelen,quarter,Kadoelen,%2Fm%2F0cc521g,,,
WK036367,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036368,FALSE,Waterlandpleinbuurt,quarter,,,,,
WK036368,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036369,FALSE,Buikslotermeer,quarter,,,,,
WK036369,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036370,FALSE,Banne Buiksloot,quarter,,,,,
WK036370,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036371,FALSE,Noordelijke IJ-oevers West,quarter,,,,,
WK036371,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036372,FALSE,Noordelijke IJ-oevers Oost,quarter,,,,,
WK036372,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036373,FALSE,Waterland,quarter,,,,,
WK036373,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036374,FALSE,Elzenhagen,quarter,,,,,
WK036374,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036375,FALSE,Chassebuurt,quarter,,,,,
WK036375,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036376,FALSE,Slotermeer-Noordoost,quarter,,,,,
WK036376,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036377,FALSE,Slotermeer-Zuidwest,quarter,,,,,
WK036377,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036378,FALSE,Geuzenveld,quarter,,,,,
WK036378,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036379,FALSE,Eendracht,quarter,,,,,
WK036379,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036380,FALSE,Lutkemeer/Ookmeer,quarter,,,,,
WK036380,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036381,FALSE,Osdorp-Oost,quarter,,,,,
WK036381,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036382,FALSE,Osdorp-Midden,quarter,,,,,
WK036382,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036383,FALSE,De Punt,quarter,,,,,
WK036383,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036384,FALSE,Middelveldsche Akerpolder,quarter,,,,,
WK036384,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036385,FALSE,Slotervaart Noord,quarter,,,,,
WK036385,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036386,FALSE,Overtoomse Veld,quarter,,,,,
WK036386,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036387,FALSE,Westlandgracht,quarter,,,,,
WK036387,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036388,FALSE,Sloter-/Riekerpolder,quarter,,,,,
WK036388,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036389,FALSE,Slotervaart Zuid,quarter,,,,,
WK036389,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036390,FALSE,Buitenveldert-West,quarter,,,,,
WK036390,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036391,FALSE,Buitenveldert-Oost,quarter,,,,,
WK036391,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036392,FALSE,Amstel III/Bullewijk,quarter,,,,,
WK036392,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036393,FALSE,"Bijlmer Centrum (D,F,H)",quarter,,,,,
WK036393,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036394,FALSE,"Bijlmer Oost (E,G,K)",quarter,,,,,
WK036394,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036395,FALSE,Nellestein,quarter,,,,,
WK036395,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036396,FALSE,Holendrecht/Reigersbos,quarter,,,,,
WK036396,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036397,FALSE,Gein,quarter,,,,,
WK036397,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036398,FALSE,Driemond,quarter,Driemond,%2Fm%2F0bwjhy,,,
